match_id,home_team,away_team,home_score,away_score,yellow_cards,stadium
1,Haifa,Haifa,-1,4,0,Sammy Ofer
2,Netanya,Maccabi Tel Aviv,0,4,5,
3,Maccabi Tel Aviv,Maccabi Tel Aviv,3,2,50,Teddy
4,Hapoel,Ashdod,1,4,6,Teddy
5,Ashdod,Beitar,1,4,3,Sammy Ofer
6,Ashdod,Haifa,2,1,1,Sammy Ofer
7,Haifa,Ashdod,3,3,3,Sammy Ofer
8,Hapoel,Beitar,0,1,0,Bloomfield
9,Haifa,Hapoel,4,4,0,Turner
10,Hapoel,Netanya,2,4,3,Teddy
11,Beitar,Haifa,4,1,2,Turner
12,Maccabi Tel Aviv,Netanya,3,1,3,Bloomfield
13,Ashdod,Hapoel,4,3,6,Bloomfield
14,Haifa,Beitar,4,2,7,Bloomfield
15,Ashdod,Ashdod,2,4,1,Turner
16,Beitar,Hapoel,4,1,5,Teddy
17,Ashdod,Netanya,2,4,1,Teddy
18,Beitar,Beitar,1,3,1,Teddy
19,Hapoel,Hapoel,0,0,4,Bloomfield
20,Netanya,Beitar,4,0,0,Sammy Ofer
21,Maccabi Tel Aviv,Haifa,1,2,2,Teddy
22,Maccabi Tel Aviv,Haifa,3,3,6,Sammy Ofer
23,Ashdod,Netanya,4,2,5,Bloomfield
24,Ashdod,Maccabi Tel Aviv,2,3,0,Sammy Ofer
25,Maccabi Tel Aviv,Ashdod,0,4,6,Turner
26,Maccabi Tel Aviv,Haifa,4,0,4,Teddy
27,Beitar,Ashdod,3,0,0,Bloomfield
28,Netanya,Maccabi Tel Aviv,0,1,1,Bloomfield
29,Netanya,Beitar,1,2,2,Sammy Ofer
30,Haifa,Maccabi Tel Aviv,3,0,4,Sammy Ofer
31,Haifa,Hapoel,0,0,1,Bloomfield
32,Beitar,Ashdod,3,0,3,Turner
33,Haifa,Netanya,3,4,7,Turner
34,Haifa,Ashdod,4,1,3,Bloomfield
35,Haifa,Haifa,3,1,0,Teddy
36,Netanya,Hapoel,3,4,1,Bloomfield
37,Maccabi Tel Aviv,Beitar,4,1,6,Sammy Ofer
38,Beitar,Hapoel,1,0,1,Bloomfield
39,Ashdod,Ashdod,3,3,0,Turner
